question,ground_truth,answer
יש רופא ילדים מומחה במודיעין שמקבל עכשיו?,"כן, יש רופאי ילדים מומחים המקבלים עכשיו (יום רביעי 18:45) במודיעין.
הנה רשימה קצרה:
ד""ר ויקטוריה לוברסקי - ילדים
זימון תור08-9750230, כללית און־ליין
מרפאהקייזר - מודיעין
כתובתבדולח 23, מודיעין מכבים רעות, שכונת קייזר
ד08:00 - 12:30
16:00 - 19:00
פרופ' ראובן שטינהרץ - ילדים
מרפאהפרופ' שטינהרץ ראובן - מכבים רעות
כתובתתבור 9, מודיעין מכבים רעות
ד18:00 - 19:30
ד""ר רון לבנטל - ילדים
זימון תור053-4296996
מרפאהד""ר לבנטל רון - מודיעין
כתובתיהודה 15, מודיעין מכבים רעות, פינת רח' ראובן
ד17:00 - 21:00

ד""ר רעות זנגביל - ילדים
זימון תור08-9735555, כללית און־ליין
מרפאהמרכז בריאות הילד - מודיעין
כתובתעמק דותן 70, מודיעין מכבים רעות, גינות דותן 70
ד11:00 - 13:00
14:00 - 19:00
ד""ר נירית סגל - ילדים
זימון תור08-9736100, כללית און־ליין
מרפאהרעות
כתובתשדרות עומרים, מודיעין מכבים רעות, מרכז מסחרי רעות
•	ד16:00 - 19:00","כן, ד""ר אורי בלה הוא רופא ילדים מומחה במודיעין. הוא מקבל היום (רביעי) בין 08:00-13:00 במרכז בריאות הילד - מודיעין. 
הכתובת: רחוב עמק דותן 70, מודיעין מכבים רעות. טלפון: 08-9735555.
אוכל לעזור לך במשהו נוסף?"
איך יוצרים קשר עם רופא המשפחה שלי ברמב״ם?,"בשביל ליצור קשר עם רופאי משפחה ממרפאת רמב""ם נתיבות צריך להתקשר למספר טלפון08-9937777
או להגיע פיזית למרפאה בכתובת הרמב""ם 5, נתיבות","לא מצאתי מידע על רופא משפחה בבית החולים רמב""ם. רמב""ם הוא בית חולים בחיפה, ואין בנתונים שלי מידע על רופאים שם. 

האם תוכל/י לספק פרטים נוספים על רופא המשפחה שלך? 

אוכל לעזור לך במשהו נוסף?"
יש רופא גסטרו שמדבר צרפתית באזור אשדוד?,"יש רופא גסטרו דובר צרפתית 1 באיזור אשדוד והוא עובד עם כללית מושלם, לא כללית רגיל:
פרופ' נחום ויסמן - גסטרואנטרולוגיה
זימון תור03-5117768, 03-5117776
מרפאהפרופ' ויסמן נחום - אשדוד
כתובתשד ירושלים 1, אשדוד","לא מצאתי רופא גסטרו שמדבר צרפתית באזור אשדוד במידע הזמין.
אוכל לעזור לך במשהו נוסף?"
מי מתמחה בלחץ דם גבוה באיזור באר שבע?,"המומחה ליתר לחץ דם בבאר שבע, דרך כללית מושלם, הוא פרופ' יוסף שמואל חביב - נפרולוגיה - יתר לחץ דם
זימון תור08-9585300, *9579

מרפאהפרופ' חביב יוסף שמואל - באר שבע

כתובתיצחק נפחא 25, באר שבע","מצאתי מספר רופאים המתמחים בקרדיולוגיה (תחום הקשור ללחץ דם גבוה) באזור באר שבע. הנה כמה מהם:

1. פרופ' זגר דורון - מרכז מומחים כללית בנגב, באר שבע. פתוח היום (רביעי) בין 16:00-19:00.
2. ד""ר כהן אבשלום - מרכז מומחים כללית בנגב, באר שבע. פתוח היום (רביעי) בין 08:00-13:30.

האם תרצה פרטים נוספים על אחד מהרופאים האלה או לחפש רופא אחר?"
מי מתמחה בבעיות שינה באיזור נתניה?,"על פי המידע שבידי המומחה לבעיות שינה בנתניה, דרך כללית מושלם,  הוא ד""ר ויקטור רוזנברג - הפרעות שינה
זימון תור054-4595391

מרפאהד""ר רוזנברג ויקטור - נתניה

כתובתנתניה","לא מצאתי רופא בנתניה שמתמחה בבעיות שינה. ד""ר אחמד ותד הוא רופא בנתניה, אך הוא מתמחה בייעוץ בריאות הנפש. 
הכתובת: רחוב בארי 42, נתניה. טלפון: 09-8603800.
אוכל לעזור לך במשהו נוסף?"
האם יש נשים שמקבל במודיעין בשעות הערב?,"כן, יש רופאי נשים המקבלים במודיעין בשעות הערב (לאחר השעה 16:00)
ד""ר דן ולסקי - נשים
זימון תור*2700, כללית און־ליין
מרפאהעזריאלי - מרכז בריאות האישה - מודיעין
כתובתלב העיר 14, מודיעין מכבים רעות, קומה 4, קניון עזריאלי בית יהונתן.
שעות קבלה
•	א19:45 - 22:00
ד""ר עידו אלדר - נשים
זימון תור08-9269100
מרפאהעזריאלי - מרכז בריאות האישה - מודיעין
כתובתלב העיר 14, מודיעין מכבים רעות, קומה 4, קניון עזריאלי בית יהונתן.
שעות קבלה
•	ב15:00 - 21:00
ד""ר דוד זכות - נשים
זימון תור08-9269100
מרפאהעזריאלי - מרכז בריאות האישה - מודיעין
כתובתלב העיר 14, מודיעין מכבים רעות, קומה 4, קניון עזריאלי בית יהונתן.
שעות קבלה
•	ב15:00 - 19:00
ד""ר חגית דאום - נשים
זימון תור*2700, כללית און־ליין
מרפאהעזריאלי - מרכז בריאות האישה - מודיעין
כתובתלב העיר 14, מודיעין מכבים רעות, קומה 4, קניון עזריאלי בית יהונתן.
שעות קבלה
•	א19:00 - 22:00
ד""ר אפרת אש-ברודר - נשים
זימון תור*2700, כללית און־ליין
מרפאהעזריאלי - מרכז בריאות האישה - מודיעין
כתובתלב העיר 14, מודיעין מכבים רעות, קומה 4, קניון עזריאלי בית יהונתן.
•	שעות קבלה
o	ג16:30 - 20:30",לא מצאתי מידע רלוונטי לגבי רופאים במודיעין בשעות הערב. אוכל לעזור לך למצוא מידע על רופאים במודיעין אם תציין את התמחות הרופא שאתה מחפש?
איזה שירותים ניתנים במרפאת יובלים כרכור?,"במרפאת יובלים - כרכור
טלפון04-8261665
כתובתהנחילות 2, פרדס חנה כרכור
שייכותכללית
•	יש מספר שירותים, בניהם: שירותי מעבדה
•	שירותי סיעוד (אחיות/אחים)
•	חיסון נגד שפעת","מרפאת יובלים בכרכור נמצאת בכתובת רחוב הנחילות 2, פרדס חנה כרכור. 
המרפאה מספקת שירותי מעבדה. 
טלפון: 04-8261665 או 050-2602700. 
אתה מוזמן לבדוק אם יש שירות נוסף שאתה זקוק לו?
רוצה לדעת אם המרפאה פתוחה עכשיו?"
לאן פונים כשהמרפאה שלי סגורה בעפולה?,"אני לא יכול לדעת מהי המרפאה שלך, אבל מצאתי 4 מרפאות בעפולה שניתן לפנות אליהן -
1. רובע יזרעאל - עפולה, טלפון 04-6141820, רחוב שדרות רובע יזרעאל 24, עפולה
2. גבעת המורה, טלפון 04-6094200, רחוב יאנוש קורצ'אק 1, עפולה
3. עפולה עילית, טלפון 04-6409500, רחוב קפלן 3, עפולה
4. עומר - עפולה, טלפון 04-6525611, רחוב שיינבויים 5, עפולה
 תרצו להוסיף פרטים כדי שאתן תשובה מדויקת יותר?","כאשר המרפאה שלך סגורה בעפולה, ישנן מספר אפשרויות זמינות:

1. **מרכזים רפואיים ושירותי חירום**: 
   - **בית חולים העמק** - נמצא בכתובת שדרות יצחק רבין 21, עפולה. ניתן ליצור קשר בטלפון 04-6495000.

2. **שירותים רפואיים אחרים בעפולה**:
   - **עפולה יועצת - טראומה**: ממוקמת בשדרות יצחק רבין 20, עפולה. טלפון: 04-6069490. מספקת שירותי רפואה למקרים של חבלות.

3. **מרכז בריאות הנפש עפולה**: 
   - כתובת: רחוב האביב 24, עפולה. טלפון: 04-6191630. חשוב לדעת כי השירות ניתן בהפניית רופא משפחה ואישור מ.ס.ר בלבד.

על מנת לקבל שירות, מומלץ להתקשר לפני להגורם הרפואי המתאים כדי לוודא זמינות ושעות פתיחה.

רוצה שאבדוק עבורך שירות ספציפי?"
איזה שירותים ניתנים במרפאת נאות?,"במרפאת נאות -  אשקלון
טלפון08-6796222
כתובתיהדות בריטניה 7, אשקלון, קומה קרקע
שייכותכללית
יש מספר שירותים :
•	שירותי מעבדה
•	שירותי סיעוד (אחיות/אחים)
•	טיפת חלב
•	מתאם שירות אונקולוגי","מצאתי מספר מרפאות בשם ""נאות"". אוכל לספק לך מידע על השירותים הניתנים בכל אחת מהן.

מרפאת ""נאות גדרה"" נמצאת בגדרה ומספקת שירותי בדיקת דם לחלבון עוברי/סקר ביוכימי שני.

מרפאת ""נאות פרס"" נמצאת בחיפה ומספקת שירותי סיעוד (אחיות/אחים).

אם תוכל לציין איזו מרפאה ""נאות"" אתה מתכוון, אוכל לספק לך מידע מדויק יותר.

רוצה שאבדוק עבורך משהו נוסף?"
יש מרפאה ראשונית פתוחה בעפולה?,"לא, אין כרגע יום רביעי בשעה 22:05 מרפאה ראשונית שפתוחה בעפולה. האם אוכל לעזור במשהו נוסף?","כן, יש מרפאה ראשונית פתוחה בעפולה. 
מרפאת ""עומר - עפולה"" פתוחה היום (רביעי) בין השעות 07:30-13:00. 
כתובת: רחוב שיינבויים 5, עפולה. 
טלפון: 04-6525611.

רוצה שאבדוק עבורך עוד משהו?"
איזה שירותים ניתנים במרפאת גולדה?,"במרפאת רמת אביב ג ע""ש גולדה מאיר - תל אביב יפו
טלפון03-7451519
כתובת אבא אחימאיר 18, תל אביב יפו, קומה 1
שייכות כללית
יש מספר שירותים: 
•	שירותי מעבדה
•	שירותי סיעוד (אחיות/אחים)
•	מתאם שירות אונקולוגי
•	חיסון נגד שלבקת חוגרת","מרפאת גולדה ממוקמת בתל אביב, ברחוב אבא אחימאיר 18. 
המרפאה כוללת מספר יחידות ובהן שירותים רפואיים שונים:"
האם יש שירות ריפוי בעיסוק במרפאת נווה מדבר?,"כן, יש שירות ריפוי בעיסוק במרפאת נווה מדבר, ריפוי בעיסוק ילדים בלבד","לא מצאתי מידע על שירות ריפוי בעיסוק במרפאת ""נווה מדבר"". המידע הזמין הוא על תחום רפואי של עבודה סוציאלית ילדים. 
המרפאה פתוחה בימים ראשון עד חמישי בין השעות 08:00-14:00. 
טלפון: 050-4035197.
רוצה שאבדוק עבורך מרפאה אחרת?"
מה שעות הפעילות של מרפאת נאות?,"שעות הפעילו של מרפאת נאות אשקלון הן:
•	א07:30 - 13:00
•	16:00 - 19:00
•	ב07:30 - 14:00
•	 14:00 - 15:00למקרים דחופים בלבד
•	15:00 - 16:00
•	ד07:30 - 13:00
•	ה07:30 - 16:00
•	ו08:00 - 12:00
•	חוה""מ08:00 - 13:00","מצאתי מספר מרפאות בשם ""נאות"". אוכל לספק לך את שעות הפעילות של כמה מהן.

מרפאת ""נאות גדרה"" פתוחה היום (רביעי) בין השעות 07:30-13:00.
מרפאת ""נאות פרס"" פתוחה היום (רביעי) בין השעות 07:30-12:00.
מרפאת ""נאות עילית"" פתוחה היום (רביעי) בין השעות 08:00-13:00 וגם 16:00-19:00.
מרפאת ""נאות אשקלון"" פתוחה היום (רביעי) בין השעות 07:30-13:00.
מרפאת ""נאות אשכול - יבנה"" פתוחה היום (רביעי) בין השעות 07:30-14:30.

אני יכול לעזור לך למצוא עוד פרטים על אחת מהמרפאות האלה. איזו מרפאה אתה מחפש?"
יש מרפאה ראשונית פתוחה באשקלון?,"כן, יש מרפאות ראשוניות פתוחות באשקלון עכשיו (יום חמישי 18:50)
היובל - אשקלון
טלפון08-6748222
כתובתחיים סלע 10, אשקלון, קומה 1, מרכז בכור
שייכותכללית
•	שעות קבלה - ה08:00 - 13:00
•	16:00 - 19:00

•	אסף הרופא (דרום) - אשקלון
טלפון08-6798222
כתובתאסף הרופא 1, אשקלון
שייכותכללית
•	שעות קבלה - ה08:00 - 13:00
•	16:00 - 19:00

•	העיר - אשקלון
טלפון08-6770711
כתובתנח""ל 1, אשקלון, קומה 2, קניון חוצות קומה 2
שייכותכללית
•	שעות קבלה - ה08:00 - 13:00
•	16:00 - 19:00","כן, יש מרפאה ראשונית פתוחה באשקלון. 
מרפאת ""נאות אשקלון"" פתוחה היום (רביעי) בין השעות 07:30-13:00.
כתובת: רחוב יהדות בריטניה 7, אשקלון. 
טלפון: 08-6796222.

רוצה שאבדוק עבורך מרפאה נוספת?"
מה שעות הפעילות של מרפאת יובלים בכרכור?,"שעות הקבלה של מרפאת יובלים - כרכור הן :
•	א08:00 - 13:00
•	16:00 - 19:00
•	ב08:00 - 13:30
•	ג08:00 - 13:00
•	16:00 - 19:00
•	ד08:00 - 13:30
•	ה08:00 - 13:00
•	16:00 - 19:00
•	ו08:00 - 12:00
•	חוה""מ08:00 - 13:00
•	ערב חג08:00 - 12:00
טלפון04-8261665
כתובתהנחילות 2, פרדס חנה כרכור
שייכותכללית","שעות הפעילות של מרפאת יובלים בכרכור ביום רביעי (היום) הן 08:00-13:30.

המרפאה ממוקמת ברחוב הנחילות 2, פרדס חנה כרכור. 
לפרטים נוספים ניתן להתקשר לטלפון: 04-8261665 או 050-2602700.

רוצה לדעת משהו נוסף?"
יש סיעוד זמין במרפאת נאות?,"כן, יש שירות סיעוד (אחים/אחיות) במרפאת נאות אשקלון","כן, יש סיעוד זמין במרפאות שונות בשם ""נאות"". 
מרפאת ""נאות גדרה"" פתוחה היום (רביעי) בין 07:30-13:00. 
ניתן ליצור קשר בטלפון 08-8637200.
מרפאת ""נאות פרס"" בחיפה פתוחה היום בין 07:30-12:00. 
ניתן ליצור קשר בטלפון 04-8351870.
מרפאת ""נאות עילית"" במודיעין עילית פתוחה היום בין 08:00-13:00 ולאחר מכן בין 16:00-19:00. 
ניתן ליצור קשר בטלפון 08-9786220.

רוצה שאבדוק עבורך מרפאה ספציפית?"
האם מרפאת נאות פתוחה עכשיו?,"לא, מרפאת נאות - אשקלון אינה פתוחה עכשיו, שעות הקבלה הן: 
א07:30 - 13:00
16:00 - 19:00
ב07:30 - 14:00
14:00 - 15:00למקרים דחופים בלבד
15:00 - 16:00
ד07:30 - 13:00
ה07:30 - 16:00
ו08:00 - 12:00
חוה""מ08:00 - 13:00","לא מצאתי מרפאה בשם ""נאות"" שפתוחה ביום רביעי בשעה 10:16.

עם זאת, מצאתי מספר מרפאות עם השם ""נאות"" שפתוחות בימים אחרים או בשעות אחרות:"
מה הכתובת של מרפאת נווה מדבר?,"הכתובת של מרפאת נווה מדבר היא משאבי שדה, ליד ישוב אלווהשלה","הכתובת של מרפאת נווה מדבר לא מופיעה במידע הזמין. 
טלפון: 050-4035197. 
ניתן למצוא הוראות הגעה בקישור: https://nearme.clalit.co.il/nav/998125.
רוצה שאבדוק עבורך משהו נוסף?"
